"verb_meaning","verb_level","verb_infinitive","verb_id","verb_simple_past","verb_past_participle","verb_category","verb_types","verb_examples","verb_path_img"
"Perder",7,"lose",102,"lost","lost","D","irregular","",""
"Hacer / Preparar",7,"make",103,"made","made","D","irregular","",""
"Significar",3,"mean",104,"meaned","meaned","R","regular","",""
"Significar / Suponer",7,"mean",105,"meant","meant","D","irregular","",""
"Conocer / Encontrar",7,"meet",106,"met","met","D","irregular","",""
"Necesitar",3,"need",107,"needed","needed","R","regular","",""
"Ofrecer",3,"offer",108,"offered","offered","R","regular","",""
"Abrir",3,"open",109,"opened","opened","R","regular","",""
"Ordenar, Pedir",3,"order",110,"ordered","ordered","R","regular","",""
"Empacar",3,"pack",111,"packed","packed","R","regular","",""
"Pintar",3,"paint",112,"painted","painted","R","regular","",""
"Estacionar",3,"park",113,"parked","parked","R","regular","",""
"Pagar",7,"pay",114,"paid","paid","D","irregular","",""
"Rezar",4,"pray",115,"prayed","prayed","R","regular","",""
"Programar",2,"preset",116,"preset","preset","A","irregular","",""
"Imprimir",4,"print",117,"printed","printed","R","regular","",""
"Jalar",4,"pull",118,"pulled","pulled","R","regular","",""
"Empujar",4,"push",119,"pushed","pushed","R","regular","",""
"Poner / Colocar",2,"put",120,"put","put","A","irregular","",""
"Dejar / Abandonar",2,"quit",121,"quit","quit","A","irregular","",""
"Llover",4,"rain",122,"rained","rained","R","regular","",""
"Leer",2,"read",123,"read","read","A","irregular","",""
"Recordar",4,"remember",124,"remembered","remembered","R","regular","",""
"Alquilar",4,"rent",125,"rented","rented","R","regular","",""
"Repetir",4,"repeat",126,"repeated","repeated","R","regular","",""
"Regresar",4,"return",127,"returned","returned","R","regular","",""
"Eliminar / Librar",3,"rid",128,"rid / ridded","rid / ridded","A2","irregular","",""
"Montar / Cabalgar",11,"ride",129,"rode","ridden","E","irregular","",""
"Sonar",11,"ring",130,"rang","rung","E","irregular","",""
"Ascender",11,"rise",131,"rose","risen","E","irregular","",""
"Correr / Ejecutar",4,"run",132,"ran","run","C","irregular","",""
"Decir",7,"say",133,"said","said","D","irregular","",""
"Ver",11,"see",134,"saw","seen","E","irregular","",""
